app_package,queried_package
in.swiggy.deliveryapp,com.msf.angelmobile
in.swiggy.deliveryapp,com.nextbillion.groww
in.swiggy.deliveryapp,com.citrus.citruspay
in.swiggy.deliveryapp,com.kreditbee.android
in.swiggy.deliveryapp,com.earlysalary.android
in.swiggy.deliveryapp,com.gopaysense.android.boost
in.swiggy.deliveryapp,com.mycash.moneytap.app
in.swiggy.deliveryapp,com.android.chrome
com.cars24.seller,com.facebook.katana
com.cars24.seller,com.instagram.android
com.cars24.seller,com.truecaller
com.cars24.seller,com.truecaller.debug
com.cars24.seller,com.tatadigital.tcp.dev
com.cars24.seller,com.tatadigital.tcp
com.cars24.seller,com.google.android.apps.maps
com.cars24.seller,com.sec.android.app.samsungapps
com.paisabazaar,com.whatsapp
xyz.penpencil.physicswala,com.truecaller
xyz.penpencil.physicswala,com.paytm.pgsdk.TransactionManager.PAYTM_APP_PACKAGE
xyz.penpencil.physicswala,com.tatadigital.tcp.dev
xyz.penpencil.physicswala,com.tatadigital.tcp
xyz.penpencil.physicswala,com.truecaller.debug
xyz.penpencil.physicswala,com.facebook.katana
xyz.penpencil.physicswala,com.instagram.android
fit.cure.android,com.google.android.apps.healthdata
fit.cure.android,com.whatsapp
fit.cure.android,com.whatsapp.w4b
fit.cure.android,com.facebook.katana
fit.cure.android,com.instagram.android
fit.cure.android,com.twitter.android
fit.cure.android,org.telegram.messenger
fit.cure.android,com.google.android.apps.fitness
fit.cure.android,com.spotify.music
fit.cure.android,com.tatadigital.tcp.dev
fit.cure.android,com.tatadigital.tcp
fit.cure.android,in.amazon.mShop.android.shopping
fit.cure.android,com.google.android.gms.policy_cast_dynamite
fit.cure.android,com.google.android.wearable.app
fit.cure.android,com.samsung.android.app.watchmanager
fit.cure.android,com.truecaller
fit.cure.android,com.truecaller.debug
fit.cure.android,com.google.android.apps.maps
org.altruist.BajajExperia,com.android.vending
org.altruist.BajajExperia,com.facebook.katana
org.altruist.BajajExperia,com.google.android.apps.nbu.paisa.user
org.altruist.BajajExperia,com.phonepe.app
org.altruist.BajajExperia,net.one97.paytm
org.altruist.BajajExperia,org.altruist.BajajExperia
org.altruist.BajajExperia,com.boi.mpay
org.altruist.BajajExperia,com.application.zomato
org.altruist.BajajExperia,com.anydesk.anydeskandroid
org.altruist.BajajExperia,com.teamviewer.quicksupport.market
org.altruist.BajajExperia,com.teamviewer.teamviewer.market.mobile
org.altruist.BajajExperia,com.incorporateapps.fakegps.fre
org.altruist.BajajExperia,com.awiserk.kundalias.rootboot
org.altruist.BajajExperia,com.rootify
org.altruist.BajajExperia,com.lexa.fakegps
org.altruist.BajajExperia,org.hola.gpslocation
org.altruist.BajajExperia,com.ram.memory.booster.cpu.saver
org.altruist.BajajExperia,phone.spoofer.id
org.altruist.BajajExperia,com.arok.fakecaller
org.altruist.BajajExperia,com.esim.numero
org.altruist.BajajExperia,com.appybuilder.abdulsajid6491.SpoofSMSSenderFake
org.altruist.BajajExperia,com.dns.fredaloader
org.altruist.BajajExperia,asvid.github.io.fridaapp
org.altruist.BajajExperia,com.dns.fridaloader
org.altruist.BajajExperia,com.mwr.dz
org.altruist.BajajExperia,com.topjohnwu.magisk
org.altruist.BajajExperia,com.kh.proxyagent
org.altruist.BajajExperia,dev.robv.android.xposed.installer
org.altruist.BajajExperia,com.ttxapps.wifiadb
org.altruist.BajajExperia,org.proxydroid
org.altruist.BajajExperia,com.boi.mpay
org.altruist.BajajExperia,com.application.zomato
org.altruist.BajajExperia,com.airdroid.remoteaccess
org.altruist.BajajExperia,com.anydesk.anydeskremotecontrol
org.altruist.BajajExperia,com.teamviewer.quicksupport.host
org.altruist.BajajExperia,com.koushion.vysor
org.altruist.BajajExperia,com.apowersoft.mobile.mirroring
org.altruist.BajajExperia,us.zoom.videomeetings
org.altruist.BajajExperia,com.skype.raider
org.altruist.BajajExperia,com.google.chromeremotedesktop
org.altruist.BajajExperia,com.realvnc.viewer.android
org.altruist.BajajExperia,com.discord
org.altruist.BajajExperia,com.splashtop.remote.pad
org.altruist.BajajExperia,com.gotomeeting
org.altruist.BajajExperia,com.logmein.joinme
org.altruist.BajajExperia,com.mikogo.android
org.altruist.BajajExperia,com.prosoftnet.rdp
org.altruist.BajajExperia,com.topjohnwu.magisk
org.altruist.BajajExperia,com.xda.forum
org.altruist.BajajExperia,com.github.android
org.altruist.BajajExperia,com.vip4android.viper4androidfx
org.altruist.BajajExperia,org.bitbucket.franco.hidebar
org.altruist.BajajExperia,com.magisk.appsystemizer
org.altruist.BajajExperia,com.openrdw.openwebview
org.altruist.BajajExperia,com.android.monkeyrunner
org.altruist.BajajExperia,com.google.android.uiautomator.viewer
org.altruist.BajajExperia,com.android.ddms
org.altruist.BajajExperia,com.android.tools.idea
org.altruist.BajajExperia,com.android.sdktools.adb
org.altruist.BajajExperia,com.android.sdktools.adb.shell
org.altruist.BajajExperia,com.android.sdktools.monitor
org.altruist.BajajExperia,com.android.sdktools.logcat
org.altruist.BajajExperia,com.android.sdktools
org.altruist.BajajExperia,com.android.sdktools.emulator
org.altruist.BajajExperia,com.android.tools.idea.profiler
org.altruist.BajajExperia,com.android.tools.idea.monitor
com.vlv.aravali.reels,com.phonepe.app
com.vlv.aravali.reels,com.phonepe.app.preprod
com.vlv.aravali.reels,com.paytm.pgsdk.TransactionManager.PAYTM_APP_PACKAGE
